# Chunk-averaged data for fix bin1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz c_peratom[1] c_peratom[2] c_peratom[3] temp
0 92 43672908
  64 1289.59 471605 -0.000301761 -0.00138692 -0.00305273 747.144 302.482 814.045 300.126
  65 1309.91 470400 0.0027109 0.00032467 0.00105581 -1158.55 57.6989 -1396.06 300.216
  66 1330.24 481447 -0.00106941 0.00262417 -0.00162492 -1001.82 -505.987 -1787.84 300.318
  67 1350.56 481753 0.000643167 -0.00176534 0.00209686 1130.36 879.099 2010.92 300.365
  68 1370.89 470400 -0.000890506 0.000693821 0.000419361 -45.4183 284.117 363.982 300.387
  69 1391.21 471537 -0.00140955 4.85911e-05 -0.00144025 -1452.46 -937.346 -2773.42 300.324
  70 1411.54 491358 0.000340009 -0.00093346 3.5805e-06 -516.53 -1042 -2258.34 300.109
  71 1431.86 470705 0.00158679 -0.000545952 0.00265718 -2816.61 -2842.85 -6502.58 299.735
  72 1452.19 470409 -0.00392956 0.00175027 0.000122571 58.0477 -248.107 -561.136 299.352
  73 1472.51 486980 -4.30484e-05 -0.00198677 0.00157197 126.113 -77.021 -319.584 300.187
  74 1492.84 476211 -0.00126373 -0.000858457 0.00189691 111.98 310.406 551.461 300.514
  75 1513.16 470400 -0.00529032 -0.00142966 -0.00240763 534.677 389.687 1101.77 300.55
  76 1533.49 474099 0.000222539 0.000427157 -0.00275752 -640.981 -875.391 -1123.56 300.427
  77 1553.81 489058 -0.00173467 9.33212e-05 0.00197429 -1662.51 -1525.35 -4241.31 299.688
  78 1574.14 470443 -0.00117787 0.000585233 -0.000853912 1073.84 1043.29 2134.77 299.785
  79 1594.46 470513 0.00413527 0.00150727 0.000767374 -2659.74 -1684.13 -4870.71 300.217
  80 1614.79 490403 0.000785289 0.000371033 0.000635843 1106.03 764.622 1895.57 300.354
  81 1635.11 472684 -0.00077191 -0.00061208 -0.000199189 1539.67 1475.2 3081.05 300.043
  82 1655.44 470401 -0.000389103 -0.00145322 0.00182264 1281.15 1779.48 2880.32 300.009
  83 1675.76 477932 0.000596947 -0.0014598 0.00717644 4292.23 4951.31 10414.7 300.502
  84 1696.09 485262 0.00157553 0.0018215 -0.0145077 -6730.15 -7533.77 -16194.7 300.096
  85 1716.41 470405 0.00021264 0.000290664 0.009094 5855.33 6191.38 13129.3 300.279
  86 1736.74 471009 0.000655678 -0.000696382 -0.0167719 -8198.71 -9021.67 -17819 301.554
  87 1757.06 491427 0.00139364 0.000373434 0.0141937 10345.8 10569 21448.4 299.98
  88 1777.39 471164 -0.00162267 7.42468e-05 0.00591344 -3950.49 -3825.63 -8914.42 300.571
  89 1797.71 470405 -0.00091046 0.00213453 0.0195134 -6171.25 -6540.75 -12396.5 301.341
  90 1818.04 483010 7.04753e-05 -0.000910791 -0.018176 9161.38 9063.85 17866.6 301.453
  91 1838.36 480185 0.000587779 0.000670096 -0.00612488 2833.13 3001.55 7399.88 302.775
  92 1858.69 280544 0.00507079 -0.00475135 0.000358801 175617 177228 -6012.73 303.736
400 92 43672908
  1 11.679 503439 0.00155584 -0.00191787 7.35374 -2.32579e+06 -2.32506e+06 -7.33437e+06 4136.42
  2 32.004 502923 0.00117144 -0.00144807 3.39779 -1.9618e+06 -1.96243e+06 -5.54308e+06 2379.41
  3 52.329 482694 -0.000564986 0.00156928 -0.00925261 -9292.23 -8854.05 -20525.4 302.038
  4 72.654 470400 -0.00125237 -0.000222057 0.0205837 21526.3 22247.1 46864.4 299.947
  5 92.979 471071 -0.000775457 0.000636405 0.00526387 -2002.02 -1666.18 -3872.95 299.881
  6 113.304 491686 -0.00123273 -0.00218229 0.00614898 -1758.17 -2093.37 -4008.02 300.003
  7 133.629 470843 0.00111909 0.000160189 -0.0217287 12696.7 13102.1 26223.6 300.648
  8 153.954 470404 0.000705758 0.00145601 -0.00108621 1673.58 1788.5 3840.94 300.518
  9 174.279 485637 0.00033454 -4.3198e-05 0.0389294 -21763.6 -21323.1 -47218.6 300.5
  10 194.604 477558 -0.000202138 -0.00127691 -0.0165806 10135 9672.06 21645.5 300.016
  11 214.929 470401 0.000909136 0.00147467 -0.000602263 1230.68 1993.26 3321.3 300.651
  12 235.254 472480 0.00383552 -0.00285225 -0.000114874 -411.161 -188.414 -790.089 299.885
  13 255.579 490620 0.00020182 2.92956e-05 -0.000339775 912.877 596.131 1271.63 300.822
  14 275.904 470500 -0.0015356 0.000619396 -0.00365345 2023.68 209.645 2097.99 300.184
  15 296.229 470434 -0.000695574 -0.00219134 0.00127307 218.335 254.454 280.886 299.325
  16 316.554 488789 0.000363804 -0.000543182 -0.000524656 1292.21 1617.11 2945.12 299.944
  17 336.879 474376 -0.000903693 0.000585653 -0.000949598 -790.154 -155.284 -1118.94 300.156
  18 357.204 470401 -0.00137159 -0.00335995 -7.49486e-05 -1449.58 -1308.95 -3359.86 300.356
  19 377.529 475804 0.00151067 0.000530523 -0.00136644 -703.4 -774.268 -1364.76 300.285
  20 397.854 487378 0.000783835 0.000504464 0.00254066 -964.107 -124.522 -1260.91 299.611
  21 418.179 470418 0.000181492 0.00146602 -0.000561717 -414.662 -296.662 -1209.38 299.901
  22 438.504 470600 -0.00195601 0.000325869 -0.00165835 1254.7 1934.61 3543.05 300.598
  23 458.829 491232 0.000935147 0.00119315 -0.00219286 1352.23 1232.46 2501.9 299.892
  24 479.154 471768 0.00324382 -0.0012108 0.00141685 968.578 435.223 1395.1 300.421
  25 499.479 470400 0.00175802 0.000802689 -0.00410348 229.403 806.318 1254.44 300.444
  26 519.804 480718 -0.00273041 9.32554e-05 -0.00173666 -581.87 -628.527 -1628.37 299.991
  27 540.129 482482 0.00212308 0.00272337 -0.00020496 1816.76 1845.29 3804.65 300.57
  28 560.454 470400 0.00145588 0.00246073 -0.000811123 -389.989 -698.278 -1471.56 300.227
  29 580.779 471207 -0.000334347 3.27509e-05 -0.000782631 1663.95 1468.03 3452.58 300.072
  30 601.104 491625 0.0002809 6.48448e-05 0.000606425 1011.44 578.248 977.924 299.828
  31 621.429 470768 0.00108393 -0.000382093 -0.000189681 -303.847 -244.084 -455.001 300.071
  32 641.754 470410 0.0036135 0.00172154 0.00220983 56.4268 338.699 -195.816 300.308
  33 662.079 485786 -0.00108615 0.000276832 -0.000665818 -829.156 -453.205 -1866.87 300.097
  34 682.404 477404 -0.00216898 0.0044195 0.00193354 324.958 -699.754 -740.47 299.926
  35 702.729 470400 0.00121573 -0.0037044 0.00261103 1414.58 1838.06 3453.49 300.779
  36 723.054 473055 -0.0029939 -0.000723306 0.000362511 628.327 1248.35 2339.38 300.173
  37 743.379 490059 0.00124464 0.0017741 -0.00195301 695.169 269.852 113.749 300.137
  38 763.704 470486 -0.00211467 -0.000180698 0.000182864 1436.19 1118.11 2963.51 300.485
  39 784.029 470450 -0.000962227 0.00536326 0.00238662 -459.305 -250.47 -706.015 300.366
  40 804.354 489456 -0.000460763 0.00209199 0.000340148 2417.56 1585.51 3422.76 300.399
  41 824.679 471607 -0.001176 -0.00137407 -0.00304516 2264.25 3347.12 1531.44 300.153
  42 845.004 467108 -0.0011073 0.000623725 0.000740177 634.283 1427.33 -2204.42 299.962
  43 865.329 475145 0.00179931 -0.000161112 0.000313131 2127.09 2853.09 1694.94 300.104
  44 885.654 486330 0.000790815 -0.00128907 -0.00170257 907.608 -19.8674 472.651 300.101
  45 905.979 470412 0.00164082 -0.000657757 0.00186789 238.092 -246.669 -8.06244 300.572
  46 926.304 470731 -0.00110487 -5.68901e-05 -0.0013457 -924.498 -1396.76 -2402.32 300.642
  47 946.629 491496 -0.00335005 4.60868e-05 -0.000565257 157.415 -29.0452 -174.412 299.945
  48 966.954 471373 0.00197968 0.00327044 -0.00421335 1706.11 1111.72 3311.88 300.214
  49 987.279 470404 -0.000912927 0.00190913 0.00145394 218.047 252.013 -222.538 299.463
  50 1007.6 482121 0.00086154 0.00177737 -0.00349537 -462.141 -921.533 -1237.01 300.178
  51 1027.93 481074 0.000211747 0.000148162 -0.00100206 1166.03 549.696 1901.53 300.079
  52 1048.25 470401 -0.00092265 -0.00201783 -0.00113359 -296.421 -1244.28 -1491.68 300.492
  53 1068.58 471711 0.0016694 -0.00089445 -0.00133157 183.916 400.289 -27.6128 300.398
  54 1088.9 491272 0.00181958 -0.00291682 -0.00032746 658.45 -316.18 -621.666 300.51
  55 1109.23 470617 0.000190371 0.00088835 -0.000618112 524.107 -83.1604 -55.0858 300.103
  56 1129.55 470423 -0.00113627 -0.00211119 -0.000191846 88.7472 166.264 184.246 300.178
  57 1149.88 487491 -0.0010532 -0.000987044 7.95473e-05 -1586.82 -1816.38 -3720.78 300.198
  58 1170.2 475686 -0.00340026 -0.00130857 0.000721281 1374.37 1918.99 3362.75 300.343
  59 1190.53 470400 -0.000275775 -0.00152784 0.00118949 -2027.4 -1003.68 -3114.11 300.298
